x1,x2,x3,x4,y
103.0139618,294.0869624,41533.70627,33.83036274,66025.96516
78.52657763,199.0033716,30492.32202,23.53395051,48640.53417
117.1837978,289.0448337,47406.51368,36.64645722,74082.4913
102.3855809,253.4987987,40354.41835,31.5345767,47145.57189
122.1590418,301.487057,48054.46177,39.598943,55039.67757
95.50598172,213.9759452,38481.76248,32.35896168,44903.56104
73.00944537,187.803917,28880.08145,26.50872197,34973.72358
96.93594519,255.8742951,38919.94205,28.71698018,39436.86278
98.00837196,259.0684817,38361.32073,31.05905928,45401.84838
122.1669877,313.3839617,49395.41751,34.48926843,70405.16577
91.39234615,238.3861297,37081.84606,27.23207474,40906.53998
111.5202503,268.3729002,44348.49253,36.60146654,64077.03584
92.77798546,225.0603717,36638.17838,26.81061847,49369.36886
92.05739099,226.7117061,37042.35664,26.99456195,40689.19566
92.9633826,245.8552427,36831.95172,25.70740635,32115.51639
92.91333239,245.048719,36770.53766,29.62035864,49931.06686
104.364069,273.3061258,41736.8212,29.95846938,48918.75618
94.95897214,232.9365721,38329.68313,30.29230182,39778.83493
85.35117488,213.901602,33810.04685,27.72465474,45821.80582
97.95361783,231.7662901,39968.71693,29.40274867,50734.28438
103.4219741,249.3836265,41847.64654,28.60882685,50679.85978
136.3204043,348.5561448,54843.67057,45.17898939,78604.98631
111.0855733,286.8978679,44261.97431,33.63269316,56834.47427
83.88236299,211.3665334,33789.18891,24.29611635,50244.03565
115.7102498,295.4005858,45944.2664,40.03885697,53205.88165
112.9215332,284.6123644,44294.41633,34.10169943,60371.98133
89.41773361,215.3713053,35018.55628,29.60254494,54145.76807
113.8430136,282.6616311,45154.36152,36.57051478,47928.30746
96.41495484,254.4072085,38436.8729,26.42562248,52090.27364
93.09541228,234.1200817,38109.77437,26.61219794,54232.31429
101.7980596,277.5348929,41081.4387,31.551628,44116.48296
90.11291246,226.5278987,35865.59955,26.83576964,45983.09087
110.1661283,287.2542076,44287.22529,32.01772829,58043.81963
99.04668434,252.235315,39986.23723,31.12430546,61199.73321
107.2303242,267.6186682,43105.05124,32.86997597,71436.0119
99.67817893,227.5279688,40704.74694,29.18509645,76888.3845
84.609189,193.4800526,34835.57731,24.21583805,35758.00477
81.02985969,211.2203694,32591.65732,24.94576595,49509.16555
81.18728458,208.0894807,32197.96378,27.41399873,21811.93453
119.5679767,304.662585,48377.11092,33.67819357,66369.9815
104.7724071,257.7219631,42086.73052,33.12397188,46480.76385
119.6879838,317.4811738,47493.43262,37.92088361,56839.60759
114.073555,281.4471557,46405.49667,33.07816774,63970.90898
135.0025628,349.7016078,54602.4184,40.59679911,49289.62265
104.2756208,266.1996297,41730.00989,30.30685799,54719.87709
122.4834727,293.0366246,49393.70651,35.68028395,50837.90571
88.60181286,235.5830851,35590.16815,25.16160481,26499.78077
93.77357274,241.2286762,37398.01717,30.18556144,32817.54667
115.2391265,302.6568078,45789.42828,37.23076638,66417.53676
90.86543529,218.4107249,36090.45823,22.92617144,49449.64875
108.6279623,266.0244578,44447.66757,31.18729539,53219.5009
96.68889574,242.8533534,38868.10346,24.18333867,50477.20371
119.3628565,290.6765275,48271.07544,38.7544341,48505.38936
89.35434937,227.8329586,35295.2134,29.48432478,56604.1027
105.8600471,247.1864161,42401.95405,34.15450834,51641.60247
74.81671267,197.7686638,29724.4457,25.63752321,48887.31568
91.74109008,237.7558983,36986.8604,29.09182714,55780.16796
126.7840512,307.8256112,50597.606,37.89893787,75895.97178
94.89611377,210.2351405,37459.9773,27.16456254,54599.49495
92.30629579,235.3362689,37384.89407,26.59593991,42229.96156
114.0417911,268.9075852,44738.25418,37.1196561,50518.90113
87.34687126,213.617085,35525.7726,24.46408746,34193.7756
109.3574128,266.5776549,44363.36782,34.78303089,60899.3907
80.5381997,223.3132732,32322.47336,21.62732339,30236.67332
113.7150038,291.8403893,45305.58138,33.1479232,55812.7534
97.7229709,248.8129504,39910.41793,33.33053165,47710.54219
103.2536839,244.6744514,41159.91543,30.69626207,57683.27492
